資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180413,0058,16,0,0,0.00
20180413,0058,17,69,4196000,100.00
20180413,0059,1,18,1721,0.03
20180413,0059,2,83,148000,2.97
20180413,0059,3,15,140279,2.82
20180413,0059,4,3,44000,0.88
20180413,0059,5,1,20000,0.40
20180413,0059,6,1,26000,0.52
20180413,0059,7,1,31000,0.62
20180413,0059,8,1,48000,0.96
20180413,0059,9,1,63000,1.26
20180413,0059,10,1,189000,3.80
20180413,0059,11,1,248000,4.98
20180413,0059,12,0,0,0.00
20180413,0059,13,0,0,0.00
20180413,0059,14,0,0,0.00
20180413,0059,15,1,4014000,80.71
20180413,0059,16,0,0,0.00
20180413,0059,17,127,4973000,100.00
20180413,0061,1,568,186606,0.04
20180413,0061,2,10709,26084374,6.56
20180413,0061,3,3055,25935819,6.53
20180413,0061,4,1011,13421753,3.37
20180413,0061,5,908,17251245,4.34
20180413,0061,6,797,21035236,5.29
20180413,0061,7,439,16205226,4.08
20180413,0061,8,351,16684000,4.20
20180413,0061,9,592,44549028,11.21
20180413,0061,10,280,40886288,10.29
20180413,0061,11,126,34800000,8.76
20180413,0061,12,42,20687893,5.20
20180413,0061,13,20,13903000,3.50
20180413,0061,14,5,4566000,1.14
20180413,0061,15,36,100919532,25.41
20180413,0061,16,0,0,0.00
20180413,0061,17,18939,397116000,100.00
20180413,006201,1,28,2336,0.01
20180413,006201,2,506,1209912,8.67
20180413,006201,3,159,1432082,10.26
20180413,006201,4,26,339670,2.43
20180413,006201,5,39,753000,5.39
20180413,006201,6,17,458000,3.28
20180413,006201,7,8,293000,2.10
20180413,006201,8,5,242000,1.73
20180413,006201,9,6,394000,2.82
20180413,006201,10,6,867000,6.21
20180413,006201,11,3,1031000,7.39
20180413,006201,12,1,419000,3.00
20180413,006201,13,1,630000,4.51
20180413,006201,14,0,0,0.00
20180413,006201,15,2,5875000,42.12
20180413,006201,16,0,0,0.00
20180413,006201,17,807,13946000,100.00
20180413,006203,1,6,1000,0.01
20180413,006203,2,78,121000,1.56
20180413,006203,3,3,27000,0.34
20180413,006203,4,2,24000,0.31
20180413,006203,5,3,53000,0.68
20180413,006203,6,0,0,0.00
20180413,006203,7,1,40000,0.51
20180413,006203,8,0,0,0.00
20180413,006203,9,1,71000,0.91
20180413,006203,10,0,0,0.00
20180413,006203,11,0,0,0.00
20180413,006203,12,2,881000,11.41
20180413,006203,13,0,0,0.00
20180413,006203,14,0,0,0.00
20180413,006203,15,1,6500000,84.21
20180413,006203,16,0,0,0.00
20180413,006203,17,97,7718000,100.00
20180413,006204,1,107,9131,0.30
20180413,006204,2,176,314266,10.47
